strain	virus	accession	date	region	country	division	city	db	segment	authors
1_0015_PF	zika	KX447511	2014-01-XX	oceania	french_polynesia	french_polynesia	french_polynesia	genbank	genome	Pettersson
1_0016_PF	zika	KX447520	2014-01-XX	oceania	french_polynesia	french_polynesia	french_polynesia	genbank	genome	Pettersson
1_0030_PF	zika	KX447515	2013-11-XX	oceania	french_polynesia	french_polynesia	french_polynesia	genbank	genome	Pettersson
1_0035_PF	zika	KX447514	2014-01-XX	oceania	french_polynesia	french_polynesia	french_polynesia	genbank	genome	Pettersson
1_0038_PF	zika	KX447517	2014-01-XX	oceania	french_polynesia	french_polynesia	french_polynesia	genbank	genome	Pettersson
1_0049_PF	zika	KX447510	2013-12-XX	oceania	french_polynesia	french_polynesia	french_polynesia	genbank	genome	Pettersson
1_0080_PF	zika	KX447521	2014-02-XX	oceania	french_polynesia	french_polynesia	french_polynesia	genbank	genome	Pettersson
1_0087_PF	zika	KX447509	2013-12-XX	oceania	french_polynesia	french_polynesia	french_polynesia	genbank	genome	Pettersson
1_0111_PF	zika	KX447516	2014-01-XX	oceania	french_polynesia	french_polynesia	french_polynesia	genbank	genome	Pettersson
1_0117_PF	zika	KX447518	2013-12-XX	oceania	french_polynesia	french_polynesia	french_polynesia	genbank	genome	Pettersson
1_0134_PF	zika	KX447513	2013-12-XX	oceania	french_polynesia	french_polynesia	french_polynesia	genbank	genome	Pettersson
1_0181_PF	zika	KX447512	2013-12-XX	oceania	french_polynesia	french_polynesia	french_polynesia	genbank	genome	Pettersson
1_0199_PF	zika	KX447519	2013-11-XX	oceania	french_polynesia	french_polynesia	french_polynesia	genbank	genome	Pettersson
Aedes_aegypti/COL/FH04/2016	zika	COL04	2016-01-29	south_america	colombia	colombia	colombia	fh	genome	Black
Aedes_aegypti/MEX/MEX_I_44/2016	zika	KY648934	2016-XX-XX	north_america	mexico	mexico	mexico	genbank	genome	Shabman
